CustomerID,LastPurchase,FirstPurchase,Frequency,Monetary,Quantity,Recency,CustomerAgeDays,AverageOrderValue,PurchaseRatePerMonth,AnnualizedValueIndicator,CLVIndicator,RScore,FScore,MScore,RFMScore,Cluster,SegmentName
14646,2011-12-08 12:12:00,2010-12-20 10:09:00,73,280206.02,196915,2,355,3838.4386301369864,6.258978873239437,288099.1473239437,288099.1473239437,5,5,5,15,0,Champions
18102,2011-12-09 11:50:00,2010-12-07 16:42:00,60,259657.3,64124,1,367,4327.621666666667,4.976158038147139,258242.27384196184,258242.27384196184,5,5,5,15,0,Champions
17450,2011-12-01 13:29:00,2010-12-07 09:23:00,46,194550.79,69993,8,368,4229.365,3.8046875,192964.77812499998,192964.77812499998,5,5,5,15,0,Champions
16446,2011-12-09 09:15:00,2011-05-18 09:52:00,2,168472.5,80997,1,206,84236.25,0.2955097087378641,298507.0995145631,298507.0995145631,5,3,5,13,0,Champions
14911,2011-12-08 15:54:00,2010-12-01 14:05:00,201,143825.06,80265,1,373,715.5475621890547,16.401977211796247,140740.3402144772,140740.3402144772,5,5,5,15,0,Champions
12415,2011-11-15 14:22:00,2011-01-06 11:12:00,21,124914.53,77374,24,338,5948.310952380953,1.891087278106509,134892.90961538462,134892.90961538462,4,5,5,14,0,Champions
14156,2011-11-30 10:54:00,2010-12-03 11:48:00,55,117379.63,57885,10,372,2134.175090909091,4.500168010752688,115170.87352150539,115170.87352150539,5,5,5,15,0,Champions
17511,2011-12-07 10:12:00,2010-12-01 10:19:00,31,91062.38,64549,3,374,2937.496129032258,2.522894385026738,88871.03930481285,88871.03930481285,5,5,5,15,0,Champions
16029,2011-11-01 10:27:00,2010-12-01 09:57:00,63,81024.84,40208,39,374,1286.1085714285714,5.127172459893049,79075.04438502673,79075.04438502673,3,5,5,13,0,Champions
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,74215,326,326,77183.6,0.0933665644171779,86417.22085889571,86417.22085889571,1,1,5,7,0,Champions
16684,2011-12-05 14:06:00,2010-12-16 17:34:00,28,66653.56,50255,4,358,2380.4842857142858,2.380586592178771,67956.84189944134,67956.84189944134,5,5,5,15,0,Champions
14096,2011-12-05 17:17:00,2011-08-30 10:49:00,17,65164.79,16352,4,102,3833.2229411764706,5.072916666666667,233187.72892156863,233187.72892156863,5,5,5,15,0,Champions
13694,2011-12-06 09:32:00,2010-12-01 12:12:00,50,65039.62,63312,4,374,1300.7924,4.06918449197861,63474.49545454545,63474.49545454545,5,5,5,15,0,Champions
15311,2011-12-09 12:00:00,2010-12-01 09:41:00,91,60767.9,38194,1,374,667.7791208791209,7.40591577540107,59305.57085561498,59305.57085561498,5,5,5,15,0,Champions
13089,2011-12-07 09:02:00,2010-12-05 10:27:00,97,58825.83,31070,3,370,606.4518556701031,7.979560810810811,58030.88635135135,58030.88635135135,5,5,5,15,0,Champions
17949,2011-12-08 18:46:00,2010-12-03 13:12:00,45,58510.48,30546,1,371,1300.232888888889,3.691880053908356,57564.21886792454,57564.21886792454,5,5,5,15,0,Champions
15769,2011-12-02 13:52:00,2010-12-03 15:16:00,26,56252.72,29672,7,371,2163.566153846154,2.1330862533692723,55342.97250673856,55342.97250673856,5,5,5,15,0,Champions
15061,2011-12-06 12:06:00,2010-12-02 15:19:00,48,54534.14,28920,4,372,1136.1279166666666,3.9274193548387095,53507.959946236566,53507.959946236566,5,5,5,15,0,Champions
14298,2011-12-01 13:12:00,2010-12-14 12:59:00,44,51527.3,58343,8,360,1171.075,3.720138888888889,52242.95694444444,52242.95694444444,5,5,5,15,0,Champions
14088,2011-11-29 16:16:00,2011-01-21 13:07:00,13,50491.81,12665,10,322,3883.9853846153846,1.2288431677018632,57234.5051242236,57234.5051242236,5,5,5,15,0,Champions
15749,2011-04-18 13:20:00,2011-01-11 12:55:00,3,44534.3,18028,235,332,14844.766666666668,0.27503765060240964,48960.902108433744,48960.902108433744,1,3,5,9,0,Champions
12931,2011-11-18 12:39:00,2010-12-17 09:45:00,15,42055.96,28004,22,358,2803.730666666667,1.275314245810056,42878.28324022346,42878.28324022346,4,5,5,14,0,Champions
17841,2011-12-08 12:07:00,2010-12-01 14:41:00,124,40991.57,23071,2,373,330.5771774193548,10.118632707774799,40112.394235924934,40112.394235924934,5,5,5,15,0,Champions
